time,open,high,low,close,Return,Kelly Fraction
2020-11-11,3553.2,3581.4,3536.0,3577.8,0.007774209903667506,0.21098566871588795
2020-11-12,3575.6,3577.9,3517.3,3542.9,-0.009754597797529185,0.22171643726228515
2020-11-13,3541.6,3594.1,3522.1,3586.9,0.012419204606395784,0.16004522085778944
2020-11-16,3592.9,3640.4,3592.9,3631.8,0.012517773007332256,0.21776253314814092
2020-11-17,3631.1,3632.7,3587.4,3607.5,-0.00669089707583026,0.21531168194088005
2020-11-18,3607.5,3626.2,3558.9,3561.7,-0.012695772695772711,0.24995095676452392
2020-11-19,3564.5,3585.4,3544.5,3564.8,0.0008703708903052831,0.1491618031998716
2020-11-20,3560.9,3585.0,3546.5,3555.2,-0.0026929982046679513,0.12211558474284925
2020-11-23,3554.3,3590.9,3549.0,3578.5,0.006553780378037777,0.08027343476906094
2020-11-24,3579.3,3642.4,3579.2,3640.6,0.017353639793209474,0.04873031534655908
2020-11-25,3638.4,3656.8,3617.5,3630.9,-0.0026643959786847304,0.14145149813265304
2020-11-26,3633.8,3640.8,3616.2,3620.6,-0.0028367622352585276,0.155918022396752
2020-11-27,3623.4,3644.6,3614.8,3639.1,0.005109650334198745,0.14904024728986387
2020-11-30,3647.9,3653.1,3594.1,3634.9,-0.0011541315160341625,0.18515209519086073
2020-12-01,3632.8,3678.4,3627.3,3660.6,0.007070345814190082,0.21396799407100853
2020-12-02,3661.6,3674.2,3643.7,3671.8,0.0030596077145823575,0.2495449156281564
2020-12-03,3672.6,3683.3,3656.9,3669.1,-0.0007353341685277792,0.25411862910893307
2020-12-04,3669.1,3700.4,3666.9,3690.9,0.005941511542340239,0.22549286854299308
2020-12-07,3698.1,3705.5,3673.1,3682.6,-0.002248774011758714,0.23716039025722968
2020-12-08,3683.5,3708.1,3665.1,3703.5,0.0056753380763592265,0.288624988801863
2020-12-09,3710.9,3714.8,3660.2,3671.9,-0.00853246928581064,0.34359218197879654
2020-12-10,3671.7,3681.4,3644.5,3666.0,-0.001606797570740004,0.41467287418587573
2020-12-11,3670.9,3674.9,3628.5,3661.4,-0.001254773595199099,0.38545128047275523
2020-12-14,3681.3,3698.2,3644.5,3651.2,-0.002785819631834885,0.3579040165541299
2020-12-15,3652.3,3695.3,3643.1,3693.2,0.011503067484662566,0.3190047143392943
2020-12-16,3694.7,3711.8,3687.2,3701.2,0.0021661431820643173,0.31252251836067435
2020-12-17,3701.3,3724.2,3699.4,3721.8,0.005565762455419954,0.2803540104825284
2020-12-18,3721.1,3730.8,3685.8,3725.1,0.0008866677414154367,0.25140496219304204
2020-12-21,3728.8,3728.9,3604.3,3692.0,-0.008885667498859107,0.2732748290056486
2020-12-22,3694.3,3703.5,3672.5,3684.6,-0.0020043336944746137,0.19083309630812267
2020-12-23,3684.1,3711.1,3661.1,3694.4,0.0026597188297237118,0.18150957474764506
2020-12-24,3694.0,3704.7,3688.4,3702.0,0.0020571676050238352,0.16511426416029532
2020-12-28,3692.1,3740.9,3691.5,3738.1,0.00975148568341444,0.23466946735198346
2020-12-29,3738.4,3755.7,3723.1,3732.5,-0.0014980872635830256,0.22660044909710006
2020-12-30,3732.9,3746.2,3724.7,3733.1,0.00016075016744809822,0.16200338454539953
2020-12-31,3734.2,3737.9,3723.6,3731.6,-0.00040181082746237884,0.21478350635451482
2021-01-04,3760.3,3780.7,3659.9,3703.3,-0.007583878229177721,0.2906853305049112
2021-01-05,3699.7,3738.7,3681.5,3725.9,0.0061026651905058404,0.2258595986288088
2021-01-06,3726.7,3784.0,3694.0,3757.7,0.008534850640113723,0.27607167614998146
2021-01-07,3760.4,3811.8,3750.1,3803.8,0.01226814274689314,0.28151678599902463
2021-01-08,3804.5,3832.3,3783.6,3830.3,0.0069667174930332365,0.26704869528716263
2021-01-11,3826.0,3828.8,3784.7,3800.2,-0.00785839229303198,0.3201962422845633
2021-01-12,3802.7,3814.4,3776.2,3800.7,0.00013157202252522815,0.2903931159246597
2021-01-13,3800.9,3821.6,3784.7,3814.2,0.003551977267345574,0.2751965594878748
2021-01-14,3815.0,3825.3,3793.2,3796.1,-0.0047454249908237545,0.3104022151395468
2021-01-15,3799.2,3804.3,3748.3,3753.4,-0.011248386501936158,0.24001082861821033
2021-01-18,3756.8,3776.0,3749.9,3775.7,0.0059412799062184,0.1432007535597338
2021-01-19,3775.9,3803.9,3775.3,3800.8,0.006647773922716427,0.18419275223153342
2021-01-20,3802.9,3860.1,3795.8,3848.0,0.012418438223531947,0.18717523776668832
2021-01-21,3849.2,3867.0,3844.1,3854.1,0.0015852390852391096,0.2597371723544613
